,question,expected_answer,chatbot_answer,page,chatbot_page,cos_sim_baseline,rouge_1_f1_baseline,rouge_2_f1_baseline,rouge_l_f1_baseline,page_match
0,What is the post-ictal phase?,"The post-ictal phase is the period after a seizure where the body rests to recover. The person will slowly regain responsiveness and may appear fatigued, confused, or disoriented.","The post-ictal phase refers to the period of time following a seizure. During this phase, the person may experience symptoms such as confusion, disorientation, fatigue, and headache. It can last anywhere from a few minutes to several hours, and",134,0,0.91053253,0.36065573281375973,0.12307691822011854,0.36065573281375973,0
1,What should a person do if they suspect they have a concussion?,"If a person suspects they have a concussion, they should stop the activity they were engaged in when the incident occurred and seek medical attention as soon as possible. It is important to follow up with a qualified healthcare provider for a full evaluation and to receive appropriate care.","If someone suspects they have a concussion, it is important for them to seek medical attention promptly. They should not drive and should instead have someone take them to the nearest emergency room or urgent care facility. While waiting for medical help, the person should rest",118,0,0.7738041,0.46753246254005737,0.1521739080529302,0.4415584365660314,0
2,What should I do if a sick or injured person refuses treatment?,"If an ill or injured person refuses care, you must honor their wishes. Explain to the person why you believe care is necessary, but do not touch or give care to the person, and never attempt to give the person help by force. Stay nearby, if possible, in case the person later decides to accept your help or becomes unresponsive. If you believe the person’s condition is life-threatening, call EMS/9-1-1 and communicate that a person requires medical assistance but is refusing help. The EMS personnel who arrive will deal with the situation. If the person gives consent initially but then withdraws it, stop giving care and call EMS/9-1-1 if you have not already done so.","If a sick or injured person refuses treatment, it is important to respect their decision while also trying to persuade them to seek help. Here are some steps you can take:

1. Encourage open communication: Listen to the person's concerns and reasons for",17,0,0.6926544,0.2203389785693767,0.05333332930133364,0.2203389785693767,0
3,What is one of the simplest and most important first aid methods?,One of the simplest and most important ways of providing first aid is to call for help (EMS/9-1-1).,"One of the simplest and most important first aid methods is knowing how to properly clean and protect a wound. This involves cleaning the wound with mild soap and water, applying an antibiotic ointment, and covering it with a clean bandage to protect it",18,0,0.62074757,0.43999999551200003,0.2333333292722223,0.43999999551200003,0
4,What is the hand position for baby compression?,Two fingers on the middle of the chest (just below the nipple line),"To perform baby compression as part of infant CPR, place two fingers (index and middle) in the center of the infant's chest, just below the nipple line. Use your fingers to compress the chest about 1.5 inches, at a rate",72,0,0.511499,0.2553191453508375,0.15384615029585808,0.2553191453508375,0
5,What is the recommended volume of adult compression?,Just enough volume to make the chest start to rise (1 second per breath),The recommended compression depth for adults during CPR (cardiopulmonary resuscitation) is at least 2 inches (5cm). This applies to both chest compressions and the depth at which you should press down on the chest to help circ,72,0,0.46079028,0.1333333292246915,0.040816322632236945,0.1333333292246915,0
6,What should you use to hold bandages in place?,Safety pins,"You can use adhesive bandage strips, medical tape, or cohesive bandage wraps to hold bandages in place. Make sure the bandage is secure but not too tight to restrict circulation.",12,0,0.36147064,0.0,0.0,0.0,0
7,What would you do if a person's condition was caused by hypoglycemia?,Ingesting sugar will help improve his or her condition.,"If a person's condition was caused by hypoglycemia (low blood sugar), it is important to act quickly to help them feel better. Here are some steps you can take:

1. Offer them something sugary to eat or drink,",133,0,0.53287905,0.13636363310950422,0.0,0.09090908765495878,0
8,What are the symptoms of tinnitus?,"Red, scaling rings on the skin","Tinnitus is the perception of noise or ringing in the ears when no external sound is present. Common symptoms of tinnitus include:

1. Ringing, buzzing, hissing, or clicking sounds in the ears.
2. Hearing the sound in one",184,0,0.08037124,0.05882352650519045,0.0,0.05882352650519045,0
9,What's more important than keeping a person still in the event of a potential spinal cord injury?,"It is more important to treat life-threatening conditions than it is to keep the person still. If the person has a potential spinal injury and is not breathing, opening the airway and starting CPR immediately are more important than protecting the spine from further damage.","In the event of a potential spinal cord injury, the most important thing to prioritize above keeping a person still is ensuring that they have an open airway and are able to breathe. If the injured person is not breathing or their airway is obstructed",116,0,0.74450684,0.3943661921920254,0.13953487872363457,0.3943661921920254,0
10,What should you do to prevent the person from attempting to remove the object and blowing their nose?,Prevent the person from attempting to remove the object and from blowing their nose.,"To prevent the person from attempting to remove the object and blowing their nose, it is important to calmly communicate with them and advise against doing so. You can explain the potential risks and suggest alternative methods such as seeing a medical professional or using nasal sprays",101,0,0.7557193,0.3703703669135803,0.30508474232691757,0.3703703669135803,0
11,What is the recommended compression depth for adults during CPR?,"When providing CPR to an adult, you should perform compressions with a depth of at least 5 cm (about 2 in.), but avoid excessive depths greater than 6 cm (about 2.5 in.).",The recommended compression depth for adults during CPR is at least 2 inches (5 centimeters) but not greater than 2.4 inches (6 centimeters). It is important to push down firmly and allow the chest to fully recoil between compressions,70,0,0.88144183,0.3076923027218935,0.05633802321761599,0.27692307195266275,0
12,Why are children more vulnerable to injury?,Children are more vulnerable to injury because their bodies are more susceptible to injury and they are typically less aware of risks and hazards in their environments.,"Children are more vulnerable to injury for several reasons. One key factor is their physical characteristics, such as smaller size and developing muscles and bones, which can make them more prone to accidents and injuries. Children also have less coordination and balance than adults, which",196,0,0.8304982,0.3103448230677765,0.14705881896193787,0.3103448230677765,0
13,What care should be taken for any life threatening conditions?,Care for any life-threatening conditions should be given first.,"If someone is experiencing a life-threatening condition, it is important to act quickly and seek emergency medical assistance. Here are some general steps to take in case of a life-threatening emergency:

1. Call emergency services: Dial 911 (or the local emergency",34,0,0.4321979,0.04545454220041345,0.0,0.04545454220041345,0
14,What are the symptoms of hyperglycemia?,"With hyperglycemia, the body cells cannot get the sugar they need, causing waste products to build up in the body and making the person ill. This may also cause the person's breath to have a fruity or sweet odor.","Hyperglycemia, or high blood sugar, can cause a variety of symptoms, including:

1. Frequent urination
2. Increased thirst
3. Fatigue
4. Blurred vision
5. Unexplained weight loss
6",131,0,0.59269696,0.0983606507712983,0.0,0.06557376552539677,0
15,Where should you keep your first aid kit?,In your home and vehicle,"Your first aid kit should be easily accessible and located in a central area of your home, such as the kitchen or bathroom. It is important that all family members know where it is kept and can easily find it in case of an emergency. Make sure",12,0,0.39150295,0.08695651980151234,0.0,0.043478258931947164,0
16,What should you do if someone is experiencing life-threatening bleeding?,"If someone is experiencing life-threatening bleeding, you should have the person rest in a comfortable position. If the person prefers to lie down, or is unresponsive, drooling, or having trouble swallowing, place the person in the recovery position. Call EMS/9-1-1 and get an AED. Monitor the person's condition and provide reassurance until EMS personnel arrive.","If someone is experiencing life-threatening bleeding, it's important to act quickly. Here's what you can do:

1. Call for emergency medical help immediately. Dial your local emergency number or ask someone nearby to call for help.
2. While waiting for",59,0,0.5895354,0.2597402548085681,0.10989010499215092,0.23376622883454223,0
17,What are the signs of infection in a puncture wound?,"Signs of infection in a puncture wound may include bleeding, bruising, and a hole where the object went through the skin.","Signs of infection in a puncture wound may include:

1. Increased pain, redness, swelling, or warmth around the wound
2. Pus or cloudy fluid draining from the wound
3. Development of a foul odor coming from the",92,0,0.84694207,0.3749999952170139,0.2592592545953361,0.3749999952170139,0
18,What should you do if a child or baby suffers a seizure during a high fever?,"If a child or baby suffers a seizure during a high fever, follow the care steps for febrile seizures.","If a child or baby suffers a seizure during a high fever, it is crucial to stay calm and follow these steps:

1. Ensure the safety of the child by removing any nearby objects that could harm them during the seizure.
2. Place the child",193,0,0.7718531,0.45283018432182276,0.36065573354474606,0.45283018432182276,0
19,How can you approach medical advice in the marine environment?,"In a marine environment, medical advice can be accessed through:
1. Mobile phone.
2. Radiotelephone contact with a shore radio station.
3. Radiotelephone contact with a nearby port or ship with a doctor on board.","When providing medical advice in the marine environment, there are a few important considerations to keep in mind:

1. Safety first: Ensure the safety of the patient as well as yourself in the marine environment. Be aware of potential hazards such as rough seas,",33,0,0.6382551,0.190476185537919,0.05633802328903038,0.1587301537918873,0
20,What precautions should you take when drinking alcohol?,Drink responsibly. Alcohol is often a factor in serious motor vehicle collisions and water injuries. Alcohol slows down your reflexes and gives you a false feeling of confidence.,"When drinking alcohol, it's important to take several precautions to ensure your safety and well-being. Here are some key precautions to keep in mind:

1. Know your limits: Be aware of how much alcohol you can handle before experiencing negative effects. Pace",114,0,0.48035157,0.15873015394305884,0.0,0.12698412219702712,0
21,What determines the severity of an allergic reaction?,The severity of an allergic reaction depends on the person.,"Several factors can determine the severity of an allergic reaction, including:

1. Type of allergen: Some allergens are more potent than others and can trigger a more severe reaction.
2. Sensitivity: The level of sensitivity or allergy that an individual",84,0,0.7129399,0.311111107654321,0.12499999695312508,0.2666666632098766,0
22,What is the role of cholesterol in cardiovascular disease?,"Cholesterol can build up in the bloodstream and stick to the blood vessel walls, narrowing the blood vessels and reducing blood flow. This can lead to cardiovascular disease.","Cholesterol plays a key role in the development of cardiovascular disease. Over time, high levels of cholesterol in the blood can lead to the buildup of plaque in the arteries, a condition known as atherosclerosis. This buildup can restrict or block blood flow",54,0,0.8146585,0.41509433483802066,0.21212120734618925,0.41509433483802066,0
23,What are some ways to prevent frostbite?,"Some tips to prevent frostbite include never ignoring numbness, covering up vulnerable areas, wearing mittens instead of gloves, maximizing foot insulation, wearing clothing in layers, keeping well hydrated, and keeping clothing dry and changing out of wet clothing as soon as possible.","To prevent frostbite, you should take the following precautions:

1. Dress in warm, layered clothing: Wear multiple layers of loose-fitting clothing to trap body heat and protect from extreme cold.

2. Protect your extremities: Wear insulated gloves or",149,0,0.8191812,0.16666666167052485,0.0,0.11111110611496937,0
24,Where should you ride when using a sex bike?,In low-traffic areas.,"When using an exercise bike, it is important to adjust the seat to a comfortable height that allows for proper leg extension while pedaling. Your knees should be slightly bent at the lowest point of the pedal stroke. Make sure your posture is upright and your",197,0,0.17086346,0.0,0.0,0.0,0
25,What is Hypothermia?,A person dressed appropriately for the weather conditions will take 30 minutes or more to become mildly hypothermic.,"Hypothermia is a medical emergency that occurs when the body loses heat faster than it can produce heat, causing a dangerously low body temperature. This condition can occur when a person is exposed to cold temperatures for an extended period of time, particularly if",155,0,0.6429385,0.1428571384948981,0.0,0.10714285278061242,0
26,Should security gates be replaced with permanent surveillance?,"No, safety gates are not a substitute for constant supervision. Always monitor children closely, even if a safety gate is in place.","The decision to replace security gates with permanent surveillance would depend on various factors such as the specific security needs of the location, budget considerations, and privacy concerns. Surveillance cameras can provide continuous monitoring of an area, but they may not necessarily deter unauthorized access in",198,0,0.46055734,0.09523809090451016,0.0,0.09523809090451016,0
27,What should you do if a glucometer is available?,Having the person check his or her blood sugar will reveal whether he or she has hyper- or hypoglycemia.,"If a glucometer is available, you can use it to measure your blood glucose levels. This can be especially important for individuals with diabetes to monitor their blood sugar levels regularly. Make sure to follow the instructions provided with the glucometer for accurate",133,0,0.46456704,0.11764705437908515,0.03333332913333387,0.11764705437908515,0
28,What are signs and symptoms of a foreign object in the nose?,"An object in the nose may be visible, and may also cause unusual noises when the person breathes through his or her nose, bleeding, and nose deformity.","Signs and symptoms of a foreign object in the nose may include:
- Pain or discomfort in the nose
- Nasal congestion or difficulty breathing through the nose
- Persistent runny nose or nasal discharge
- Nosebleeds
- Foul",101,0,0.703387,0.319999995032,0.1333333284222224,0.2399999950320001,0
29,What routine information about the person should be prepared?,Routine information about the person should be prepared.,"Some routine information that can be prepared for a person includes:

1. Full name
2. Date of birth
3. Contact information (phone number, email address)
4. Address
5. Emergency contact information
6. Medical history and any",34,0,0.52442265,0.19047618739229027,0.04761904484127,0.1428571397732427,0
