,question,expected_answer,chatbot_answer,page,chatbot_page,cos_sim_gemma,rouge_1_f1_gemma,rouge_2_f1_gemma,rouge_l_f1_gemma,page_match
0,What is the post-ictal phase?,"The post-ictal phase is the period after a seizure where the body rests to recover. The person will slowly regain responsiveness and may appear fatigued, confused, or disoriented.","The post-ictal phase is the period after the seizure in which the person rests to recover from the seizure. During this time, the person will slowly regain responsiveness and may appear fatigued, confused, or disoriented.",134,134,0.9869516,0.8363636313785124,0.6440677916460787,0.8363636313785124,1
1,What should a person do if they suspect they have a concussion?,"If a person suspects they have a concussion, they should stop the activity they were engaged in when the incident occurred and seek medical attention as soon as possible. It is important to follow up with a qualified healthcare provider for a full evaluation and to receive appropriate care.","If you suspect you have a concussion, you should stop the activity you were engaged in when the incident occurred and seek medical attention as soon as possible. You should also follow the advice of a qualified healthcare provider and avoid engaging in activities that could aggravate your symptoms.",118,116,0.9170253,0.6329113874058646,0.45833332833333335,0.6329113874058646,0
2,What should I do if a sick or injured person refuses treatment?,"If an ill or injured person refuses care, you must honor their wishes. Explain to the person why you believe care is necessary, but do not touch or give care to the person, and never attempt to give the person help by force. Stay nearby, if possible, in case the person later decides to accept your help or becomes unresponsive. If you believe the person’s condition is life-threatening, call EMS/9-1-1 and communicate that a person requires medical assistance but is refusing help. The EMS personnel who arrive will deal with the situation. If the person gives consent initially but then withdraws it, stop giving care and call EMS/9-1-1 if you have not already done so.","The text does not describe any scenario where a sick or injured person refuses treatment, therefore I cannot answer this question.",17,124,0.5686568,0.14141413807162542,0.04687499736328141,0.14141413807162542,0
3,What is one of the simplest and most important first aid methods?,One of the simplest and most important ways of providing first aid is to call for help (EMS/9-1-1).,The text states that one of the simplest and most important first aid methods is calling for help (EMS/9-1-1).,18,29,0.9110811,0.6666666616820989,0.4571428521469388,0.6666666616820989,0
4,What is the hand position for baby compression?,Two fingers on the middle of the chest (just below the nipple line),The hand position for baby compression is two fingers on the middle of the chest (just below the nipple line).,72,70,0.777341,0.6896551677051131,0.7096774146097816,0.6896551677051131,0
5,What is the recommended volume of adult compression?,Just enough volume to make the chest start to rise (1 second per breath),"The text does not specify the volume of adult compression, therefore I cannot answer this question.",72,67,0.3612581,0.13793102953626654,0.0,0.0689655122948874,0
6,What should you use to hold bandages in place?,Safety pins,"Sure, here is the answer based on the provided text:

To secure bandages in place, the text suggests using clean, preferably sterile, dressings and checking circulation below the injury before and after applying a bandage. If circulation is reduced, the bandage should be loosened. If blood soaks through the bandage, additional dressings and a bandage should be placed on top. Dressings and bandages should be kept clean and dry to decrease the risk of infection. Once bleeding is under control and the wound has begun to heal, dressings that become wet should be replaced with dry dressings.",12,90,0.3198712,0.0,0.0,0.0,0
7,What would you do if a person's condition was caused by hypoglycemia?,Ingesting sugar will help improve his or her condition.,"If the person's condition is caused by hypoglycemia, ingesting sugar will help improve his or her condition.
The text provided describes various medical emergencies and procedures, including seizures, hypoglycemia, and fainting. It also includes information about managing diabetes and using a glucagon kit.

Based on the text, the answer to the user's question is: If the person's condition is caused by hypoglycemia, ingesting sugar will help improve his or her condition.",133,133,0.66142833,0.2857142830165817,0.22580644936524458,0.2857142830165817,1
8,What are the symptoms of tinnitus?,"Red, scaling rings on the skin","The text does not mention tinnitus, therefore I cannot answer this question.",184,114,0.23006508,0.0,0.0,0.0,0
9,What's more important than keeping a person still in the event of a potential spinal cord injury?,"It is more important to treat life-threatening conditions than it is to keep the person still. If the person has a potential spinal injury and is not breathing, opening the airway and starting CPR immediately are more important than protecting the spine from further damage.","The text states that if the person has a potential spinal injury and is not breathing, opening the airway and starting CPR immediately are more important than protecting the spine from further damage.",116,115,0.82952076,0.7812499950195313,0.7297297248210374,0.7812499950195313,0
10,What should you do to prevent the person from attempting to remove the object and blowing their nose?,Prevent the person from attempting to remove the object and from blowing their nose.,"The text states that ""to prevent the person from attempting to remove the object and blowing their nose, you should prevent them from attempting to remove the object altogether.""",101,101,0.690897,0.5882352895501731,0.4864864819284149,0.5882352895501731,1
11,What is the recommended compression depth for adults during CPR?,"When providing CPR to an adult, you should perform compressions with a depth of at least 5 cm (about 2 in.), but avoid excessive depths greater than 6 cm (about 2.5 in.).",The recommended compression depth for adults during CPR is at least 5 cm (about 2 in.) but should not exceed 6 cm (about 2.5 in.).,70,70,0.933069,0.49999999511834325,0.357142852244898,0.46153845665680476,1
12,Why are children more vulnerable to injury?,Children are more vulnerable to injury because their bodies are more susceptible to injury and they are typically less aware of risks and hazards in their environments.,The text states that babies who are 6 months or older are the most vulnerable to illnesses and conditions.,196,182,0.50610137,0.21052631080332423,0.047619042721088946,0.15789473185595584,0
