,question,expected_answer,chatbot_answer,page,chatbot_page,cos_sim_gpt35,rouge_1_f1_gpt35,rouge_2_f1_gpt35,rouge_l_f1_gpt35,page_match
0,What is the post-ictal phase?,"The post-ictal phase is the period after a seizure where the body rests to recover. The person will slowly regain responsiveness and may appear fatigued, confused, or disoriented.","The post-ictal phase is the period after a seizure when the person slowly regains responsiveness and may appear fatigued, confused, or disoriented.",134,"['134', '136']",0.9740002,0.808510633354459,0.6249999950781252,0.808510633354459,1
1,What should a person do if they suspect they have a concussion?,"If a person suspects they have a concussion, they should stop the activity they were engaged in when the incident occurred and seek medical attention as soon as possible. It is important to follow up with a qualified healthcare provider for a full evaluation and to receive appropriate care.","If a person suspects they have a concussion, they should stop the activity they were engaged in when the incident occurred and seek medical attention from a qualified healthcare provider as soon as possible for a full evaluation. It is important to follow up with a healthcare provider to evaluate the severity of the injury and receive recommendations about when they can return to normal activities. Prompt recognition and appropriate follow-up care are key in preventing potential catastrophic consequences.",118,"['116', '118']",0.94404805,0.7999999952000001,0.6399999952691201,0.7999999952000001,1
2,What should I do if a sick or injured person refuses treatment?,"If an ill or injured person refuses care, you must honor their wishes. Explain to the person why you believe care is necessary, but do not touch or give care to the person, and never attempt to give the person help by force. Stay nearby, if possible, in case the person later decides to accept your help or becomes unresponsive. If you believe the person’s condition is life-threatening, call EMS/9-1-1 and communicate that a person requires medical assistance but is refusing help. The EMS personnel who arrive will deal with the situation. If the person gives consent initially but then withdraws it, stop giving care and call EMS/9-1-1 if you have not already done so.","If a sick or injured person refuses treatment, you should respect their decision and not force them to receive care. However, you can encourage them to seek medical attention and provide information about the potential risks of not receiving treatment. It's important to continue monitoring the person's condition and be prepared to call EMS/9-1-1 if their condition worsens.",17,"['29', '124', '115']",0.77695763,0.30399999530752003,0.06097560525877487,0.2879999953075201,0
3,What is one of the simplest and most important first aid methods?,One of the simplest and most important ways of providing first aid is to call for help (EMS/9-1-1).,"One of the simplest and most important first aid methods is to call for help (EMS/9-1-1). By making this call, you ensure that the ill or injured person receives care from highly trained medical professionals.",18,"['18', '29', '42']",0.9240644,0.5882352896732026,0.47058823084967333,0.5882352896732026,1
4,What is the hand position for baby compression?,Two fingers on the middle of the chest (just below the nipple line),"The hand position for baby compression is two fingers on the middle of the chest, just below the nipple line.",72,"['71', '75', '72']",0.7927786,0.4827586159809751,0.45161289848074926,0.4827586159809751,1
5,What is the recommended volume of adult compression?,Just enough volume to make the chest start to rise (1 second per breath),"The recommended compression depth for an adult is at least 5 cm (about 2 in.), while avoiding excessive depths greater than 6 cm (about 2.5 in.).",72,"['75', '70', '71']",0.37821555,0.0,0.0,0.0,0
6,What should you use to hold bandages in place?,Safety pins,You can use a commercially made tourniquet or a triangular bandage to hold bandages in place.,12,"['61', '90', '128']",0.32153058,0.0,0.0,0.0,0
7,What would you do if a person's condition was caused by hypoglycemia?,Ingesting sugar will help improve his or her condition.,"If a person's condition is caused by hypoglycemia, you should offer 15 to 20 grams of sugar if the person is able to follow simple commands, answer questions, and swallow safely. You can give them oral glucose tablets, chewable candy, fruit juice, fruit strips, milk, or other forms of sugar such as a non-diet soft drink or a spoonful of sugar mixed into a glass of water. Monitor the person's condition for 10 minutes and if their condition does not improve within that time, call EMS/9-1-1.",133,"['131', '133', '132']",0.51932335,0.10389610183167484,0.0,0.0779220758576489,1
8,What are the symptoms of tinnitus?,"Red, scaling rings on the skin","Tinnitus is a condition characterized by hearing ringing, buzzing, or other noises in the ears. Symptoms of tinnitus may include hearing ringing or buzzing sounds in the ears, as well as potential hearing loss or sensitivity to loud noises.",184,"['189', '114', '104']",0.11476291,0.054054051336742286,0.0,0.054054051336742286,0
9,What's more important than keeping a person still in the event of a potential spinal cord injury?,"It is more important to treat life-threatening conditions than it is to keep the person still. If the person has a potential spinal injury and is not breathing, opening the airway and starting CPR immediately are more important than protecting the spine from further damage.","Treating life-threatening conditions, such as opening the airway and starting CPR, is more important than keeping a person still in the event of a potential spinal cord injury.",116,"['115', '112', '116']",0.9191114,0.5333333284222223,0.2898550677000631,0.3666666617555556,1
